2016-11-03 12:20:26,556 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:20:26,562 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:20:26,571 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:21:11,191 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:21:11,202 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:21:11,210 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:21:11,223 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:22:06,891 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:22:06,896 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:22:06,904 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:22:06,913 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:22:16,245 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:22:16,253 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
